"id","first_name","last_name","email","phone_number","hire_date","job_id","salary","commission_pct","manager_id","department_id"
1,"Steven","King","SKING","515.123.4567","2003-06-17",4,24000.0,0.0,,9
2,"Neena","Kochhar","NKOCHHAR","515.123.4568","2005-09-21",5,17000.0,0.0,1,9
3,"Lex","De Haan","LDEHAAN","515.123.4569","2001-01-13",5,17000.0,0.0,1,9
4,"Alexander","Hunold","AHUNOLD","590.423.4567","2006-01-03",9,9000.0,0.0,3,6
5,"Bruce","Ernst","BERNST","590.423.4568","2007-05-21",9,6000.0,0.0,4,6
6,"David","Austin","DAUSTIN","590.423.4569","2005-06-25",9,4800.0,0.0,4,6
7,"Valli","Pataballa","VPATABAL","590.423.4560","2006-02-05",9,4800.0,0.0,4,6
8,"Diana","Lorentz","DLORENTZ","590.423.5567","2007-02-07",9,4200.0,0.0,4,6
9,"Nancy","Greenberg","NGREENBE","515.124.4569","2002-08-17",7,12000.0,0.0,2,10
10,"Daniel","Faviet","DFAVIET","515.124.4169","2002-08-16",6,9000.0,0.0,9,10
11,"John","Chen","JCHEN","515.124.4269","2005-09-28",6,8200.0,0.0,9,10
12,"Ismael","Sciarra","ISCIARRA","515.124.4369","2005-09-30",6,7700.0,0.0,9,10
13,"Jose Manuel","Urman","JMURMAN","515.124.4469","2006-03-07",6,7800.0,0.0,9,10
14,"Luis","Popp","LPOPP","515.124.4567","2007-12-07",6,6900.0,0.0,9,10
15,"Den","Raphaely","DRAPHEAL","515.127.4561","2002-12-07",14,11000.0,0.0,1,3
16,"Alexander","Khoo","AKHOO","515.127.4562","2003-05-18",13,3100.0,0.0,15,3
17,"Shelli","Baida","SBAIDA","515.127.4563","2005-12-24",13,2900.0,0.0,15,3
18,"Sigal","Tobias","STOBIAS","515.127.4564","2005-07-24",13,2800.0,0.0,15,3
19,"Guy","Himuro","GHIMURO","515.127.4565","2006-11-15",13,2600.0,0.0,15,3
20,"Karen","Colmenares","KCOLMENA","515.127.4566","2007-08-10",13,2500.0,0.0,15,3
21,"Matthew","Weiss","MWEISS","650.123.1234","2004-07-18",19,8000.0,0.0,1,5
22,"Adam","Fripp","AFRIPP","650.123.2234","2005-04-10",19,8200.0,0.0,1,5
23,"Payam","Kaufling","PKAUFLIN","650.123.3234","2003-05-01",19,7900.0,0.0,1,5
24,"Shanta","Vollman","SVOLLMAN","650.123.4234","2005-10-10",19,6500.0,0.0,1,5
25,"Kevin","Mourgos","KMOURGOS","650.123.5234","2007-11-16",19,5800.0,0.0,1,5
26,"Julia","Nayer","JNAYER","650.124.1214","2005-07-16",18,3200.0,0.0,21,5
27,"Irene","Mikkilineni","IMIKKILI","650.124.1224","2006-09-28",18,2700.0,0.0,21,5
28,"James","Landry","JLANDRY","650.124.1334","2007-01-14",18,2400.0,0.0,21,5
29,"Steven","Markle","SMARKLE","650.124.1434","2008-03-08",18,2200.0,0.0,21,5
30,"Laura","Bissot","LBISSOT","650.124.5234","2005-08-20",18,3300.0,0.0,22,5
31,"Mozhe","Atkinson","MATKINSO","650.124.6234","2005-10-30",18,2800.0,0.0,22,5
32,"James","Marlow","JAMRLOW","650.124.7234","2005-02-16",18,2500.0,0.0,22,5
33,"TJ","Olson","TJOLSON","650.124.8234","2007-04-10",18,2100.0,0.0,22,5
34,"Jason","Mallin","JMALLIN","650.127.1934","2004-06-14",18,3300.0,0.0,23,5
35,"Michael","Rogers","MROGERS","650.127.1834","2006-08-26",18,2900.0,0.0,23,5
36,"Ki","Gee","KGEE","650.127.1734","2007-12-12",18,2400.0,0.0,23,5
37,"Hazel","Philtanker","HPHILTAN","650.127.1634","2008-02-06",18,2200.0,0.0,23,5
38,"Renske","Ladwig","RLADWIG","650.121.1234","2003-07-14",18,3600.0,0.0,24,5
39,"Stephen","Stiles","SSTILES","650.121.2034","2005-10-26",18,3200.0,0.0,24,5
40,"John","Seo","JSEO","650.121.2019","2006-02-12",18,2700.0,0.0,24,5
41,"Joshua","Patel","JPATEL","650.121.1834","2006-04-06",18,2500.0,0.0,24,5
42,"Trenna","Rajs","TRAJS","650.121.8009","2003-10-17",18,3500.0,0.0,25,5
43,"Curtis","Davies","CDAVIES","650.121.2994","2005-01-29",18,3100.0,0.0,25,5
44,"Randall","Matos","RMATOS","650.121.2874","2006-03-15",18,2600.0,0.0,25,5
45,"Peter","Vargas","PVARGAS","650.121.2004","2006-07-09",18,2500.0,0.0,25,5
46,"John","Russell","JRUSSEL","011.44.1344.429268","2004-10-01",15,14000.0,0.0,1,8
47,"Karen","Partners","KPARTNER","011.44.1344.467268","2005-01-05",15,13500.0,0.0,1,8
48,"Alberto","Errazuriz","AERRAZUR","011.44.1344.429278","2005-03-10",15,12000.0,0.0,1,8
49,"Gerald","Cambrault","GCAMBRAU","011.44.1344.619268","2007-10-15",15,11000.0,0.0,1,8
50,"Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018","2008-01-29",15,10500.0,0.0,1,8
51,"Peter","Tucker","PTUCKER","011.44.1344.129268","2005-01-30",16,10000.0,0.0,46,8
52,"David","Bernstein","DBERNSTE","011.44.1344.345268","2005-03-24",16,9500.0,0.0,46,8
53,"Peter","Hall","PHALL","011.44.1344.478968","2005-08-20",16,9000.0,0.0,46,8
54,"Christopher","Olsen","COLSEN","011.44.1344.498718","2006-03-30",16,8000.0,0.0,46,8
55,"Nanette","Cambrault","NCAMBRAU","011.44.1344.987668","2006-12-09",16,7500.0,0.0,46,8
56,"Oliver","Tuvault","OTUVAULT","011.44.1344.486508","2007-11-23",16,7000.0,0.0,46,8
57,"Janette","King","JKING","011.44.1345.429268","2004-01-30",16,10000.0,0.0,47,8
58,"Patrick","Sully","PSULLY","011.44.1345.929268","2004-03-04",16,9500.0,0.0,47,8
59,"Allan","McEwen","AMCEWEN","011.44.1345.829268","2004-08-01",16,9000.0,0.0,47,8
60,"Lindsey","Smith","LSMITH","011.44.1345.729268","2005-03-10",16,8000.0,0.0,47,8
61,"Louise","Doran","LDORAN","011.44.1345.629268","2005-12-15",16,7500.0,0.0,47,8
62,"Sarath","Sewall","SSEWALL","011.44.1345.529268","2006-11-03",16,7000.0,0.0,47,8
63,"Clara","Vishney","CVISHNEY","011.44.1346.129268","2005-11-11",16,10500.0,0.0,48,8
64,"Danielle","Greene","DGREENE","011.44.1346.229268","2007-03-19",16,9500.0,0.0,48,8
65,"Mattea","Marvins","MMARVINS","011.44.1346.329268","2008-01-24",16,7200.0,0.0,48,8
66,"David","Lee","DLEE","011.44.1346.529268","2008-02-23",16,6800.0,0.0,48,8
67,"Sundar","Ande","SANDE","011.44.1346.629268","2008-03-24",16,6400.0,0.0,48,8
68,"Amit","Banda","ABANDA","011.44.1346.729268","2008-04-21",16,6200.0,0.0,48,8
69,"Lisa","Ozer","LOZER","011.44.1343.929268","2005-03-11",16,11500.0,0.0,49,8
70,"Harrison","Bloom","HBLOOM","011.44.1343.829268","2006-03-23",16,10000.0,0.0,49,8
71,"Tayler","Fox","TFOX","011.44.1343.729268","2006-01-24",16,9600.0,0.0,49,8
72,"William","Smith","WSMITH","011.44.1343.629268","2007-02-23",16,7400.0,0.0,49,8
73,"Elizabeth","Bates","EBATES","011.44.1343.529268","2007-03-24",16,7300.0,0.0,49,8
74,"Sundita","Kumar","SKUMAR","011.44.1343.329268","2008-04-21",16,6100.0,0.0,49,8
75,"Ellen","Abel","EABEL","011.44.1644.429267","2004-05-11",16,11000.0,0.0,50,8
76,"Alyssa","Hutton","AHUTTON","011.44.1644.429266","2005-03-19",16,8800.0,0.0,50,8
77,"Jonathon","Taylor","JTAYLOR","011.44.1644.429265","2006-03-24",16,8600.0,0.0,50,8
78,"Jack","Livingston","JLIVINGS","011.44.1644.429264","2006-04-23",16,8400.0,0.0,50,8
79,"Kimberely","Grant","KGRANT","011.44.1644.429263","2007-05-24",16,7000.0,0.0,50,8
80,"Charles","Johnson","CJOHNSON","011.44.1644.429262","2008-01-04",16,6200.0,0.0,50,8
81,"Winston","Taylor","WTAYLOR","650.507.9876","2006-01-24",17,3200.0,0.0,21,5
82,"Jean","Fleaur","JFLEAUR","650.507.9877","2006-02-23",17,3100.0,0.0,21,5
83,"Martha","Sullivan","MSULLIVA","650.507.9878","2007-06-21",17,2500.0,0.0,21,5
84,"Girard","Geoni","GGEONI","650.507.9879","2008-02-03",17,2800.0,0.0,21,5
85,"Nandita","Sarchand","NSARCHAN","650.509.1876","2004-01-27",17,4200.0,0.0,22,5
86,"Alexis","Bull","ABULL","650.509.2876","2005-02-20",17,4100.0,0.0,22,5
87,"Julia","Dellinger","JDELLING","650.509.3876","2006-06-24",17,3400.0,0.0,22,5
88,"Anthony","Cabrio","ACABRIO","650.509.4876","2007-02-07",17,3000.0,0.0,22,5
89,"Kelly","Chung","KCHUNG","650.505.1876","2005-06-14",17,3800.0,0.0,23,5
90,"Jennifer","Dilly","JDILLY","650.505.2876","2005-08-13",17,3600.0,0.0,23,5
91,"Timothy","Gates","TGATES","650.505.3876","2006-07-11",17,2900.0,0.0,23,5
92,"Randall","Perkins","RPERKINS","650.505.4876","2007-12-19",17,2500.0,0.0,23,5
93,"Sarah","Bell","SBELL","650.501.1876","2004-02-04",17,4000.0,0.0,24,5
94,"Britney","Everett","BEVERETT","650.501.2876","2005-03-03",17,3900.0,0.0,24,5
95,"Samuel","McCain","SMCCAIN","650.501.3876","2006-07-01",17,3200.0,0.0,24,5
96,"Vance","Jones","VJONES","650.501.4876","2007-03-17",17,2800.0,0.0,24,5
97,"Alana","Walsh","AWALSH","650.507.9811","2006-04-24",17,3100.0,0.0,25,5
98,"Kevin","Feeney","KFEENEY","650.507.9822","2006-05-23",17,3000.0,0.0,25,5
99,"Donald","OConnell","DOCONNEL","650.507.9833","2007-06-21",17,2600.0,0.0,25,5
100,"Douglas","Grant","DGRANT","650.507.9844","2008-01-13",17,2600.0,0.0,25,5
101,"Jennifer","Whalen","JWHALEN","515.123.4444","2003-09-17",3,4400.0,0.0,2,1
102,"Michael","Hartstein","MHARTSTE","515.123.5555","2004-02-17",10,13000.0,0.0,1,2
103,"Pat","Fay","PFAY","603.123.6666","2005-08-17",11,6000.0,0.0,2,2
104,"Susan","Mavris","SMAVRIS","515.123.7777","2002-06-07",8,6500.0,0.0,2,4
105,"Hermann","Baer","HBAER","515.123.8888","2002-06-07",12,10000.0,0.0,2,7
106,"Shelley","Higgins","SHIGGINS","515.123.8080","2002-06-07",2,12000.0,0.0,2,11
107,"William","Gietz","WGIETZ","515.123.8181","2002-06-07",1,8300.0,0.0,6,11
